NO;시군구;번지;본번;부번;단지명;전용면적(㎡);계약년월;계약일;거래금액(만원);동;층;매수자;매도자;건축년도;도로명;해제사유발생일;거래유형;중개사소재지;등기일자;주택유형
1;서울특별시 도봉구 창동;30;0030;0000;창동주공18단지;45.9000;202508;18;45,800;-;13;개인;개인;1988;노해로70길 119;-;중개거래;서울 도봉구;-;아파트
2;서울특별시 구로구 구로동;685-223;0685;0223;주공2;41.3000;202508;18;53,000;-;4;개인;개인;1987;구일로4길 22;-;중개거래;서울 구로구;-;아파트
3;서울특별시 구로구 구로동;642-9;0642;0009;한신;44.7800;202508;18;42,500;-;2;개인;개인;1988;구일로8길 63;-;중개거래;서울 구로구;-;아파트
4;서울특별시 관악구 봉천동;1712;1712;0000;관악드림(동아);114.7500;202508;18;107,000;-;6;개인;개인;2003;성현로 80;-;중개거래;서울 관악구;-;아파트
5;서울특별시 송파구 방이동;51-4;0051;0004;올림픽카운티;56.2200;202508;18;57,500;-;9;개인;개인;2003;백제고분로 497;-;중개거래;서울 송파구;-;아파트
6;서울특별시 영등포구 양평동2가;38-1;0038;0001;삼성래미안;59.4000;202508;17;84,400;-;15;개인;개인;1998;영등포로3길 9;-;중개거래;서울 영등포구;-;아파트
7;서울특별시 금천구 시흥동;1013;1013;0000;관악산벽산타운5;84.9700;202508;17;54,500;-;11;개인;개인;2004;금하로 816;-;중개거래;서울 금천구;-;아파트
8;서울특별시 영등포구 도림동;821;0821;0000;영등포아트자이;84.9740;202508;16;131,000;-;11;개인;개인;2014;도영로 66;-;중개거래;서울 영등포구;-;아파트
9;서울특별시 구로구 개봉동;478;0478;0000;한진;59.9500;202508;16;51,500;-;5;개인;개인;2000;개봉로3길 87;-;중개거래;서울 구로구;-;아파트
10;서울특별시 영등포구 도림동;821;0821;0000;영등포아트자이;84.9740;202508;16;131,000;-;11;개인;개인;2014;도영로 66;20250816;중개거래;서울 영등포구;-;아파트
11;서울특별시 영등포구 영등포동1가;94-2;0094;0002;여의도더리브스타일;14.8376;202508;16;18,500;-;12;개인;개인;2020;경인로 900;-;중개거래;서울 영등포구;-;아파트
12;서울특별시 구로구 고척동;296;0296;0000;대우;59.9600;202508;16;56,000;-;11;개인;개인;1999;고척로52길 53;-;중개거래;서울 구로구;-;아파트
13;서울특별시 구로구 고척동;296;0296;0000;대우;59.9700;202508;16;54,000;-;2;개인;개인;1999;고척로52길 48;-;중개거래;서울 구로구;-;아파트
14;서울특별시 강동구 상일동;514;0514;0000;고덕롯데캐슬베네루체;84.9230;202508;16;144,500;-;2;개인;개인;2019;상암로79길 88;-;중개거래;서울 강동구;-;아파트
15;서울특별시 강동구 명일동;359;0359;0000;래미안솔베뉴;49.6600;202508;16;135,000;-;13;개인;개인;2019;양재대로 1650;-;중개거래;서울 강동구;-;아파트
16;서울특별시 강동구 천호동;217-132;0217;0132;동아하이빌아파트;59.9800;202508;16;71,000;-;22;개인;개인;2000;구천면로 278;-;중개거래;서울 강동구;-;아파트
17;서울특별시 동대문구 용두동;779;0779;0000;신동아;49.6800;202508;16;61,000;-;13;개인;개인;1994;무학로26길 30;-;중개거래;서울 동대문구;-;아파트
18;서울특별시 동대문구 휘경동;372;0372;0000;휘경SK뷰;84.6200;202508;16;127,000;-;18;개인;개인;2019;휘경로 60;-;중개거래;서울 동대문구;-;아파트
19;서울특별시 동대문구 용두동;779;0779;0000;신동아;49.6800;202508;16;61,000;-;13;개인;개인;1994;무학로26길 30;20250816;중개거래;서울 동대문구;-;아파트
20;서울특별시 성동구 하왕십리동;1058;1058;0000;극동미라주;59.4000;202508;16;105,800;-;20;개인;개인;2001;난계로 73;-;중개거래;서울 성동구;-;아파트
21;서울특별시 동대문구 답십리동;530-4;0530;0004;보광타워;14.6900;202508;16;13,000;-;15;개인;개인;2019;황물로 90;-;중개거래;서울 동대문구;-;아파트
22;서울특별시 성북구 정릉동;1030;1030;0000;정릉힐스테이트1차;84.3070;202508;16;78,300;-;12;개인;개인;2007;북악산로 831;-;중개거래;서울 성북구;-;아파트
23;서울특별시 노원구 공릉동;737;0737;0000;삼익포레스트아파트;51.0300;202508;16;44,800;-;4;개인;개인;1995;공릉로46길 32;-;중개거래;서울 노원구, 서울 동대문구;-;아파트
24;서울특별시 은평구 불광동;641;0641;0000;북한산현대힐스테이트3차아파트;59.9900;202508;16;81,500;-;10;개인;개인;2010;불광로 122-10;-;중개거래;서울 은평구;-;아파트
25;서울특별시 강북구 미아동;1357;1357;0000;삼각산아이원;59.7580;202508;16;59,800;-;17;개인;개인;2003;삼양로19길 113;-;중개거래;서울 강북구;-;아파트
26;서울특별시 성북구 길음동;1280;1280;0000;길음뉴타운2단지푸르지오;114.7300;202508;16;98,500;-;1;개인;개인;2005;길음로 119;-;중개거래;서울 성북구;-;아파트
27;서울특별시 성북구 상월곡동;101;0101;0000;동아에코빌;59.9500;202508;16;55,000;-;1;개인;개인;2003;장월로1길 28;-;중개거래;서울 성북구;-;아파트
28;서울특별시 관악구 봉천동;1730;1730;0000;e편한세상서울대입구1단지;59.9600;202508;16;120,000;-;7;개인;개인;2019;청룡10길 45;20250818;중개거래;경기 안산시 상록구, 서울 강남구;-;아파트
29;서울특별시 관악구 봉천동;1730;1730;0000;e편한세상서울대입구1단지;59.9600;202508;16;120,000;-;7;개인;개인;2019;청룡10길 45;-;중개거래;경기 안산시 상록구, 서울 강남구;-;아파트
30;서울특별시 관악구 봉천동;1717;1717;0000;관악푸르지오;59.5800;202508;16;87,500;-;6;개인;개인;2004;관악로30길 27;-;중개거래;서울 관악구;-;아파트
31;서울특별시 양천구 신월동;1077;1077;0000;목동센트럴아이파크위브3단지;84.9800;202508;16;115,000;-;17;개인;개인;2020;남부순환로83길 48;-;중개거래;서울 양천구;-;아파트
32;서울특별시 서대문구 홍제동;453;0453;0000;청구1차;84.7800;202508;16;89,000;-;12;개인;개인;1994;통일로 348;-;중개거래;서울 서대문구;-;아파트
33;서울특별시 은평구 증산동;223-28;0223;0028;DMC자이2단지;108.5200;202508;15;100,000;-;8;개인;개인;2009;수색로 217-1;-;중개거래;서울 은평구;-;아파트
34;서울특별시 양천구 신월동;1076;1076;0000;목동센트럴아이파크위브2단지;59.8800;202508;15;92,700;-;3;개인;개인;2020;남부순환로83길 18;-;중개거래;서울 양천구;-;아파트
35;서울특별시 서대문구 북아현동;1011;1011;0000;신촌푸르지오;49.0201;202508;15;94,500;-;1;개인;개인;2015;북아현로1길 50;-;중개거래;경기 고양시 일산동구, 서울 서대문구;-;아파트
36;서울특별시 서대문구 남가좌동;388;0388;0000;DMC센트럴아이파크;84.9000;202508;15;125,500;-;4;개인;개인;2018;증가로 150;-;중개거래;서울 서대문구;-;아파트
37;서울특별시 은평구 응암동;769;0769;0000;녹번역e편한세상캐슬;84.9400;202508;15;127,000;-;11;개인;개인;2021;은평로 220;-;중개거래;서울 은평구;-;아파트
38;서울특별시 강서구 등촌동;707;0707;0000;등촌7,8단지주공아파트;41.8500;202508;15;54,000;-;2;개인;개인;1994;공항대로43길 104;-;중개거래;서울 강서구;-;아파트
39;서울특별시 마포구 신공덕동;15-80;0015;0080;공덕프로포즈Ⅱ;14.0300;202508;15;15,000;-;16;개인;개인;2015;만리재로 35;-;중개거래;서울 마포구;-;아파트
40;서울특별시 은평구 신사동;19-84;0019;0084;형진;59.7800;202508;15;38,500;-;6;개인;개인;1997;가좌로12길 12;-;중개거래;서울 은평구;-;아파트
41;서울특별시 중구 흥인동;142-1;0142;0001;위더스하임;23.8200;202508;15;27,000;-;11;개인;개인;2018;퇴계로73길 20;-;중개거래;서울 중구;-;아파트
42;서울특별시 동대문구 용두동;779;0779;0000;신동아;58.5900;202508;15;73,000;-;3;개인;개인;1994;무학로26길 30;-;중개거래;서울 동대문구;-;아파트
43;서울특별시 영등포구 당산동2가;16-1;0016;0001;당산대우;45.5500;202508;15;57,200;-;16;개인;개인;1999;영등포로 106;-;중개거래;서울 영등포구;-;아파트
44;서울특별시 영등포구 대림동;1127;1127;0000;e편한세상영등포아델포레;84.9948;202508;15;130,000;-;16;개인;개인;2020;신길로 29;-;중개거래;서울 영등포구;-;아파트
45;서울특별시 구로구 온수동;155;0155;0000;온수힐스테이트;59.9600;202508;15;64,500;-;5;개인;개인;2010;부일로9길 127;20250815;중개거래;서울 구로구;-;아파트
46;서울특별시 구로구 고척동;141-1;0141;0001;서울가든;54.6100;202508;15;48,000;-;1;개인;개인;1989;중앙로5길 62;-;중개거래;서울 구로구;-;아파트
47;서울특별시 구로구 고척동;296;0296;0000;대우;59.9700;202508;15;55,000;-;13;개인;개인;1999;고척로52길 48;-;중개거래;서울 구로구;-;아파트
48;서울특별시 동작구 사당동;1139;1139;0000;사당자이;84.4900;202508;15;102,800;-;19;개인;개인;1999;사당로2가길 102;-;중개거래;서울 동작구;-;아파트
49;서울특별시 영등포구 신길동;4967;4967;0000;신길파크자이;59.9700;202508;15;137,000;-;2;개인;개인;2022;신길로28길 25;-;중개거래;서울 영등포구;-;아파트
50;서울특별시 금천구 시흥동;1026;1026;0000;남서울힐스테이트;84.7860;202508;15;94,500;-;19;개인;개인;2014;시흥대로 165;-;중개거래;서울 금천구;-;아파트
51;서울특별시 금천구 시흥동;1026;1026;0000;남서울힐스테이트;84.7860;202508;15;94,500;-;19;개인;개인;2014;시흥대로 165;20250818;중개거래;서울 금천구;-;아파트
52;서울특별시 강동구 암사동;413;0413;0000;프라이어팰리스;84.9490;202508;15;149,000;-;16;개인;개인;2007;고덕로 130;-;중개거래;서울 강동구;-;아파트
53;서울특별시 강동구 성내동;194;0194;0000;에스케이허브진;33.7100;202508;15;33,000;-;8;개인;개인;2004;천호대로 1092;-;중개거래;서울 강동구;-;아파트
54;서울특별시 강동구 길동;53;0053;0000;삼익파크맨션;63.3200;202508;15;95,000;-;10;개인;개인;1983;명일로 286;20250815;중개거래;서울 강동구;-;아파트
55;서울특별시 관악구 봉천동;1021;1021;0000;일두(1021);57.6600;202508;15;51,900;-;1;개인;개인;1985;은천로39길 56;-;중개거래;서울 관악구;-;아파트
56;서울특별시 도봉구 도봉동;30-1;0030;0001;한신;84.9400;202508;15;57,900;-;7;개인;개인;1995;마들로 859-19;-;중개거래;서울 도봉구;-;아파트
57;서울특별시 성북구 길음동;1279;1279;0000;길음뉴타운1단지(래미안길음1차);59.9900;202508;15;88,000;-;18;개인;개인;2003;길음로9길 40;-;중개거래;서울 성북구;-;아파트
58;서울특별시 성북구 정릉동;1018;1018;0000;길음뉴타운데시앙;59.4200;202508;15;52,800;-;17;개인;개인;1999;서경로2길 48;-;중개거래;서울 성북구;-;아파트
59;서울특별시 도봉구 방학동;701-15;0701;0015;거성학마을아파트;77.0500;202508;15;53,000;-;4;개인;개인;1994;도당로 116;-;중개거래;서울 도봉구;-;아파트
60;서울특별시 노원구 상계동;1279;1279;0000;상계1차중앙하이츠;59.8200;202508;15;56,000;-;18;개인;개인;1997;노원로28길 15;-;중개거래;서울 노원구;-;아파트
61;서울특별시 중랑구 신내동;785;0785;0000;건영2차;74.2500;202508;15;66,500;-;18;개인;개인;1996;신내로7길 20;-;중개거래;서울 중랑구;-;아파트
62;서울특별시 성북구 길음동;1277;1277;0000;길음현대;32.9800;202508;15;36,800;-;8;개인;개인;2000;길음로13길 11;-;중개거래;서울 성북구;-;아파트
63;서울특별시 노원구 중계동;502-1;0502;0001;중계그린1단지;49.5000;202508;15;53,300;-;13;개인;개인;1990;섬밭로 285;-;중개거래;서울 노원구;-;아파트
64;서울특별시 은평구 녹번동;283;0283;0000;래미안베라힐즈;84.9500;202508;15;109,500;-;1;개인;개인;2019;통일로 630;-;중개거래;서울 은평구;-;아파트
65;서울특별시 노원구 공릉동;757;0757;0000;우국리더스빌;49.6000;202508;14;41,500;-;5;개인;개인;2006;동일로197길 85;-;중개거래;서울 노원구;-;아파트
66;서울특별시 노원구 하계동;353;0353;0000;우방;84.8900;202508;14;65,000;-;15;개인;개인;1999;공릉로58길 176;-;중개거래;서울 노원구;-;아파트
67;서울특별시 도봉구 도봉동;641;0641;0000;서원;39.8500;202508;14;30,000;-;10;개인;개인;1996;마들로 684-19;-;중개거래;서울 도봉구;-;아파트
68;서울특별시 중랑구 신내동;650;0650;0000;신내6대주;39.8400;202508;14;40,000;-;7;개인;개인;1996;신내로19길 42;-;중개거래;서울 중랑구;-;아파트
69;서울특별시 은평구 갈현동;548;0548;0000;유호루하스;16.7680;202508;14;11,000;-;8;개인;개인;2018;갈현로 300;-;중개거래;서울 은평구;-;아파트
70;서울특별시 노원구 중계동;445;0445;0000;염광;59.3400;202508;14;56,300;-;7;개인;개인;1996;덕릉로79길 23;20250818;중개거래;서울 노원구;-;아파트
71;서울특별시 노원구 월계동;18;0018;0000;한진한화그랑빌;139.0800;202508;14;107,000;-;10;개인;개인;2002;마들로 31;-;중개거래;서울 노원구;-;아파트
72;서울특별시 노원구 월계동;944;0944;0000;풍림아이원;84.3030;202508;14;90,000;-;12;개인;개인;2005;화랑로47길 38;-;중개거래;서울 노원구;-;아파트
73;서울특별시 노원구 월계동;944;0944;0000;풍림아이원;59.1490;202508;14;75,000;-;8;개인;개인;2005;화랑로47길 38;-;중개거래;서울 노원구;-;아파트
74;서울특별시 금천구 시흥동;1013;1013;0000;관악산벽산타운5;59.3400;202508;14;43,500;-;14;개인;개인;2004;금하로 816;-;중개거래;서울 금천구;-;아파트
75;서울특별시 금천구 가산동;143-6;0143;0006;가산지웰에스테이트2차;14.1200;202508;14;11,400;-;7;개인;개인;2018;가산로9길 12-8;-;중개거래;서울 금천구;-;아파트
76;서울특별시 강서구 방화동;852;0852;0000;마곡중앙하이츠아파트;51.0300;202508;14;53,000;-;12;개인;개인;1994;양천로6길 28;-;중개거래;서울 강서구;-;아파트
77;서울특별시 마포구 도화동;550;0550;0000;삼성;84.9850;202508;14;178,000;-;16;개인;개인;1997;도화길 28;-;중개거래;서울 마포구;-;아파트
78;서울특별시 강서구 등촌동;561-1;0561;0001;대림e편한세상;96.7300;202508;14;81,000;-;2;개인;개인;2002;등촌로 137;-;직거래;-;-;아파트
79;서울특별시 중랑구 면목동;538;0538;0000;신영;14.4300;202508;14;8,900;-;4;개인;개인;2013;면목로69길 16;-;중개거래;서울 중랑구;-;아파트
80;서울특별시 동대문구 장안동;555-1;0555;0001;한신아파트;84.4000;202508;14;46,310;-;12;개인;개인;1996;사가정로 245-3;-;직거래;-;-;아파트
81;서울특별시 동대문구 신설동;100-26;0100;0026;포레스트힐시티;14.7500;202508;14;17,000;-;20;개인;개인;2018;청계천로 443;-;중개거래;서울 동대문구;-;아파트
82;서울특별시 중랑구 상봉동;500;0500;0000;프레미어스엠코;101.9700;202508;14;117,500;-;31;개인;개인;2013;망우로 353;-;중개거래;서울 중랑구;-;아파트
83;서울특별시 용산구 이태원동;729;0729;0000;남산대림;59.9200;202508;14;155,000;-;5;개인;개인;1994;녹사평대로 254;-;중개거래;서울 용산구;-;아파트
84;서울특별시 성동구 성수동1가;715;0715;0000;중앙하이츠빌;84.7215;202508;14;193,000;-;22;개인;개인;2003;상원길 47;-;중개거래;서울 성동구;-;아파트
85;서울특별시 동대문구 답십리동;41;0041;0000;동서울한양;59.6700;202508;14;55,500;-;9;개인;개인;1989;답십리로 184;-;중개거래;서울 동대문구;-;아파트
86;서울특별시 송파구 신천동;7;0007;0000;장미1;82.4500;202508;14;279,000;-;11;개인;개인;1979;올림픽로35길 104;20250814;중개거래;서울 송파구;-;아파트
87;서울특별시 송파구 신천동;7;0007;0000;장미1;82.4500;202508;14;279,000;-;11;개인;개인;1979;올림픽로35길 104;-;중개거래;서울 송파구;-;아파트
88;서울특별시 강남구 개포동;1280;1280;0000;래미안블레스티지;113.7320;202508;14;449,000;-;21;개인;개인;2019;선릉로 8;-;중개거래;서울 강남구, 서울 송파구;-;아파트
89;서울특별시 강동구 고덕동;210-1;0210;0001;고덕센트럴푸르지오;59.1600;202508;14;130,000;-;18;개인;개인;2020;고덕로 399;-;중개거래;서울 강동구;-;아파트
90;서울특별시 송파구 거여동;356;0356;0000;우방1;84.9000;202508;14;91,000;-;5;개인;개인;1999;오금로56길 16;-;중개거래;서울 강동구;-;아파트
91;서울특별시 강동구 암사동;414-2;0414;0002;롯데캐슬퍼스트;84.8100;202508;13;162,500;-;19;개인;개인;2008;고덕로 131;-;중개거래;대구 수성구, 서울 강동구;-;아파트
92;서울특별시 강동구 암사동;445;0445;0000;한강포스파크;80.6500;202508;13;86,000;-;1;개인;개인;2002;고덕로19길 30;-;중개거래;서울 강동구;-;아파트
93;서울특별시 강동구 길동;53;0053;0000;삼익파크맨션;63.3200;202508;13;100,000;-;7;개인;개인;1983;명일로 286;-;중개거래;서울 강동구;-;아파트
94;서울특별시 양천구 신정동;337;0337;0000;목동우성2;113.9100;202508;13;108,000;-;4;개인;개인;2000;목동남로4길 6-23;20250813;중개거래;서울 양천구;-;아파트
95;서울특별시 강서구 화곡동;1165;1165;0000;강서힐스테이트;84.9900;202508;13;135,000;-;17;개인;개인;2015;우현로 67;-;중개거래;서울 강서구;-;아파트
96;서울특별시 양천구 신정동;337;0337;0000;목동우성2;113.9100;202508;13;108,000;-;4;개인;개인;2000;목동남로4길 6-23;-;중개거래;서울 양천구;-;아파트
97;서울특별시 서대문구 남가좌동;377;0377;0000;DMC래미안클라시스;59.9700;202508;13;85,500;-;16;개인;개인;2000;증가로 191;-;중개거래;서울 서대문구;-;아파트
98;서울특별시 노원구 하계동;273;0273;0000;장미(시영6);49.7500;202508;13;58,000;-;4;개인;개인;1989;섬밭로 196;-;중개거래;서울 노원구;-;아파트
99;서울특별시 은평구 불광동;635;0635;0000;북한산힐스테이트1차아파트;84.7340;202508;13;87,000;-;7;개인;개인;2009;불광로2길 33;-;중개거래;서울 은평구;-;아파트
100;서울특별시 강북구 미아동;812;0812;0000;삼성래미안트리베라2단지;84.2900;202508;13;96,500;-;11;개인;개인;2010;삼양로27길 19;-;중개거래;서울 강북구;-;아파트
101;서울특별시 은평구 불광동;635;0635;0000;북한산힐스테이트1차아파트;84.7340;202508;13;87,000;-;7;개인;개인;2009;불광로2길 33;20250813;중개거래;서울 은평구;-;아파트
102;서울특별시 도봉구 도봉동;641;0641;0000;서원;49.7700;202508;13;35,600;-;10;개인;개인;1996;마들로 684-19;-;중개거래;서울 노원구, 서울 도봉구;-;아파트
103;서울특별시 노원구 상계동;652;0652;0000;상계주공11(고층);49.9400;202508;13;50,500;-;13;개인;개인;1988;동일로227길 25;-;중개거래;서울 노원구;-;아파트
104;서울특별시 성북구 장위동;320;0320;0000;래미안장위퍼스트하이;59.9900;202508;13;97,000;-;10;개인;개인;2020;한천로 713;-;중개거래;서울 성북구;-;아파트
105;서울특별시 노원구 월계동;944;0944;0000;풍림아이원;59.1490;202508;13;79,500;-;11;개인;개인;2005;화랑로47길 38;-;중개거래;서울 노원구;-;아파트
106;서울특별시 성북구 길음동;1280;1280;0000;길음뉴타운2단지푸르지오;84.9700;202508;13;90,000;-;4;개인;개인;2005;길음로 119;-;중개거래;서울 성북구;-;아파트
107;서울특별시 노원구 월계동;18;0018;0000;한진한화그랑빌;84.9700;202508;13;94,000;-;7;개인;개인;2002;마들로 31;-;중개거래;서울 노원구;-;아파트
108;서울특별시 성북구 정릉동;210;0210;0000;정릉푸른마을동아;84.9600;202508;13;73,000;-;11;개인;개인;2003;서경로 31;20250813;중개거래;서울 성북구;-;아파트
109;서울특별시 성북구 정릉동;494;0494;0000;중앙하이츠빌1단지;59.9800;202508;13;57,300;-;12;개인;개인;2004;아리랑로19길 60;-;중개거래;서울 성북구;-;아파트
110;서울특별시 구로구 온수동;155;0155;0000;온수힐스테이트;84.9700;202508;13;77,300;-;7;개인;개인;2010;부일로9길 127;-;중개거래;서울 구로구;-;아파트
111;서울특별시 영등포구 신길동;261-22;0261;0022;신길레전드힐스;13.7400;202508;13;9,900;-;15;개인;개인;2013;가마산로 468;-;중개거래;서울 영등포구;-;아파트
112;서울특별시 영등포구 신길동;897-1;0897;0001;삼환;84.8400;202508;13;105,500;-;5;개인;개인;1997;여의대방로43나길 25;20250814;중개거래;서울 영등포구;-;아파트
113;서울특별시 구로구 구로동;685-124;0685;0124;중앙하이츠;59.9900;202508;13;55,000;-;10;개인;개인;1987;구일로8길 92;-;중개거래;서울 구로구;-;아파트
114;서울특별시 구로구 구로동;1257;1257;0000;럭키;59.9800;202508;13;53,500;-;3;개인;개인;1992;도림로 107;-;중개거래;서울 구로구;-;아파트
115;서울특별시 구로구 구로동;1265;1265;0000;구로두산;51.8400;202508;13;54,900;-;16;개인;개인;1998;도림로 59;-;중개거래;서울 구로구;-;아파트
116;서울특별시 금천구 가산동;769;0769;0000;두산;134.9500;202508;13;74,000;-;16;개인;개인;1998;가산로 99;-;직거래;-;-;아파트
117;서울특별시 강서구 마곡동;1525;1525;0000;마곡푸르지오;114.7200;202508;13;114,700;102;2;개인;개인;2008;방화대로34길 88;-;중개거래;서울 강서구;25.08.13;아파트
118;서울특별시 강서구 내발산동;711-1;0711;0001;보람하이빌;83.5600;202508;13;50,000;-;1;개인;개인;2001;강서로47라길 48-7;-;중개거래;서울 강서구;-;아파트
119;서울특별시 강서구 가양동;1475;1475;0000;강변;39.6000;202508;13;63,000;-;14;개인;개인;1992;허준로 139;-;중개거래;서울 강서구;-;아파트
120;서울특별시 강남구 개포동;1164-30;1164;0030;뉴현대파크빌;69.5500;202508;13;80,000;-;4;개인;개인;2001;논현로2길 61-4;-;중개거래;서울 강남구;-;아파트
121;서울특별시 강남구 개포동;12;0012;0000;삼익대청아파트;51.1200;202508;13;180,000;-;4;개인;개인;1992;개포로109길 21;-;중개거래;서울 강남구, 서울 서초구;-;아파트
122;서울특별시 관악구 봉천동;1000;1000;0000;현대(관악);116.7200;202508;13;105,000;-;9;개인;개인;1992;관악로 304;-;중개거래;서울 관악구;-;아파트
123;서울특별시 서초구 반포동;46;0046;0000;엠브이아파트;83.4000;202508;13;180,000;-;8;개인;개인;1994;고무래로10길 39;-;중개거래;서울 서초구;-;아파트
124;서울특별시 관악구 봉천동;1000;1000;0000;현대(관악);68.8000;202508;13;82,000;-;8;개인;개인;1992;관악로 304;-;중개거래;서울 관악구;-;아파트
125;서울특별시 서초구 반포동;46;0046;0000;엠브이아파트;83.4000;202508;13;180,000;-;8;개인;개인;1994;고무래로10길 39;20250813;중개거래;서울 서초구;-;아파트
126;서울특별시 관악구 봉천동;1000;1000;0000;현대(관악);68.8000;202508;13;82,000;-;8;개인;개인;1992;관악로 304;20250814;중개거래;서울 관악구;-;아파트
127;서울특별시 광진구 중곡동;699;0699;0000;욱현하이브Ⅲ;17.7100;202508;13;14,500;-;2;개인;법인;2012;용마산로1길 7;-;중개거래;서울 광진구;-;아파트
128;서울특별시 중구 신당동;840;0840;0000;현대;121.1400;202508;13;113,000;-;13;개인;개인;1993;다산로36길 109;-;중개거래;서울 강남구, 서울 중구;-;아파트
129;서울특별시 성동구 하왕십리동;1050;1050;0000;한진해모로;84.9600;202508;13;107,000;-;18;개인;개인;2001;왕십리로31길 20;-;중개거래;서울 성동구;-;아파트
130;서울특별시 성동구 행당동;344;0344;0000;신동아;59.9700;202508;13;100,000;-;8;개인;개인;1995;독서당로 441;-;중개거래;서울 성동구;-;아파트
131;서울특별시 동대문구 답십리동;1002;1002;0000;청계한신휴플러스;90.6200;202508;13;129,500;-;9;개인;개인;2010;서울시립대로 14;-;중개거래;경기 부천시 원미구, 서울 동대문구;-;아파트
132;서울특별시 중랑구 면목동;1502;1502;0000;현대;72.6300;202508;13;60,500;-;6;개인;개인;1994;용마산로 252;-;중개거래;서울 중랑구;-;아파트
133;서울특별시 용산구 문배동;24-6;0024;0006;CJ나인파크;123.4700;202508;13;168,500;-;8;개인;개인;2007;백범로90다길 12;-;중개거래;서울 용산구;-;아파트
134;서울특별시 성동구 응봉동;275;0275;0000;신동아;59.9700;202508;13;91,500;-;7;개인;개인;1996;독서당로 375;-;중개거래;서울 성동구;-;아파트
135;서울특별시 중랑구 상봉동;63;0063;0000;건영2차아파트;84.9600;202508;13;77,000;-;20;개인;개인;1996;신내로7나길 24;-;중개거래;서울 중랑구;-;아파트
136;서울특별시 종로구 사직동;9;0009;0000;광화문스페이스본(101동~105동);94.5100;202508;13;155,000;-;9;개인;개인;2008;사직로8길 4;-;중개거래;서울 종로구;-;아파트
137;서울특별시 종로구 숭인동;318-2;0318;0002;삼전솔하임4차;15.0900;202508;12;13,000;-;14;개인;개인;2014;지봉로4길 13;-;중개거래;서울 종로구;-;아파트
138;서울특별시 용산구 효창동;5-495;0005;0495;효창맨션;73.0600;202508;12;52,350;-;8;개인;개인;1969;효창원로 157;-;중개거래;서울 용산구;-;아파트
139;서울특별시 동대문구 답십리동;497-23;0497;0023;청계푸르지오시티;18.9200;202508;12;14,750;-;20;개인;개인;2015;천호대로 257;-;중개거래;서울 동대문구;-;아파트
140;서울특별시 도봉구 창동;30;0030;0000;창동주공18단지;45.5500;202508;12;44,800;-;4;개인;개인;1988;노해로70길 119;-;중개거래;서울 도봉구;-;아파트
141;서울특별시 도봉구 창동;30;0030;0000;창동주공18단지;45.5500;202508;12;44,800;-;4;개인;개인;1988;노해로70길 119;20250813;중개거래;서울 도봉구;-;아파트
142;서울특별시 도봉구 창동;27;0027;0000;주공19단지(창동리버타운);68.8600;202508;12;83,700;-;5;개인;개인;1988;노해로70길 19;-;중개거래;서울 도봉구;-;아파트
143;서울특별시 노원구 월계동;18;0018;0000;한진한화그랑빌;139.0800;202508;12;106,700;-;16;개인;개인;2002;마들로 31;-;중개거래;서울 노원구;-;아파트
144;서울특별시 성북구 정릉동;1035;1035;0000;정릉2차e-편한세상;84.4000;202508;12;87,400;-;3;개인;개인;2009;북악산로 851;-;중개거래;서울 성북구;-;아파트
145;서울특별시 성북구 돈암동;15-1;0015;0001;돈암동삼성;114.6600;202508;12;81,500;-;4;개인;개인;1999;동소문로34길 24;-;중개거래;서울 성북구;-;아파트
146;서울특별시 성북구 돈암동;633;0633;0000;동부센트레빌;81.8200;202508;12;88,000;-;10;개인;개인;2003;정릉로 388;-;중개거래;서울 성북구;-;아파트
147;서울특별시 도봉구 쌍문동;50;0050;0000;현대2;85.0000;202508;12;51,000;-;8;개인;개인;1993;시루봉로6길 53;-;중개거래;서울 도봉구;-;아파트
148;서울특별시 도봉구 방학동;271-1;0271;0001;신동아아파트1;70.6200;202508;12;45,500;-;9;개인;개인;1986;방학로 193;-;중개거래;서울 도봉구;-;아파트
149;서울특별시 도봉구 방학동;731;0731;0000;한화성원아파트;84.9800;202508;12;48,500;-;12;개인;개인;1996;방학로11길 10;-;중개거래;서울 도봉구;-;아파트
150;서울특별시 노원구 공릉동;741;0741;0000;현대성우아파트;59.9800;202508;12;49,500;-;5;개인;개인;2000;공릉로27길 110;-;중개거래;서울 노원구;-;아파트
151;서울특별시 강북구 수유동;48-8;0048;0008;수유프리미어엠;19.0000;202508;12;12,100;-;7;개인;개인;2016;덕릉로 76;-;중개거래;서울 강북구;-;아파트
152;서울특별시 도봉구 창동;30;0030;0000;창동주공18단지;45.5500;202508;12;44,800;-;4;개인;개인;1988;노해로70길 119;20250813;중개거래;서울 도봉구;-;아파트
153;서울특별시 강동구 길동;413-11;0413;0011;경지Arium;14.1200;202508;12;20,000;-;16;개인;개인;2019;천호대로177길 40;-;중개거래;서울 강동구;-;아파트
154;서울특별시 서대문구 천연동;145;0145;0000;천연뜨란채;57.7800;202508;12;89,750;-;8;개인;개인;2006;독립문로8길 54;-;중개거래;서울 서대문구;-;아파트
155;서울특별시 양천구 목동;549;0549;0000;목동금호베스트빌;125.3700;202508;12;120,000;-;4;개인;개인;2002;목동중앙북로8길 111;-;중개거래;서울 양천구;-;아파트
